NBN Atlas record ID,Occurrence ID,Licence,Rightsholder,Scientific name,Taxon author,Name qualifier,Common name,Species ID (TVK),Taxon Rank,Occurrence status,Start date,Start date day,Start date month,Start date year,End date,End date day,End date month,End date year,Locality,OSGR,Latitude (WGS84),Longitude (WGS84),Coordinate uncertainty (m),Verbatim depth,Recorder,Determiner,Individual count,Abundance,Abundance scale,Organism scope,Organism remarks,Sex,Life stage,Occurrence remarks,Identification verification status,Basis of record,Survey key,Dataset name,Dataset ID,Data provider,Data provider ID,Institution code,Kingdom,Phylum,Class,Order,Family,Genus,OSGR 100km,OSGR 10km,OSGR 2km,OSGR 1km,Country,State/Province,Vitality
54e43cb0-fc71-47b2-9b4c-672c18a75f11,36568247,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,18/06/2024,18,06,2024,,,,,Llaithddu,SO075782,52.39401,-3.35977,32,,"Leafe, Paul",,2,,,,,,,,Accepted - correct,HumanObservation,iRecord | LERC Wales,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SO,SO07,SO07U,SO0778,United Kingdom,Wales,
5408253e-f535-4ad7-b54b-6b7df9678713,36447000,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,15/06/2024,15,06,2024,,,,,North of Forfar,NO44915435,56.677689,-2.900623,7.1,,"Taylor, Angela",,1,,,,,not recorded,not recorded,,Accepted - correct,HumanObservation,iRecord | General data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,NO,NO45,NO45M,NO4454,United Kingdom,Scotland,
51e549c8-ba1b-43a9-be9b-04fadf9b87c3,36289400,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,04/06/2024,04,06,2024,,,,,Mynydd illtyd,SN96812538,51.91740000000001,-3.50165,5,,"Lewis, Bev",,,,,,,,,Seen on path,Accepted - correct,HumanObservation,iRecord | LERC Wales,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SN,SN92,SN92S,SN9625,United Kingdom,Wales,
4f89c008-f893-45eb-a268-9d920a05471f,36470602,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,17/06/2024,17,06,2024,,,,,Rhogo,SO079565,52.19955,-3.34851,50,,"Leafe, Paul",,1,,,,,,,,Accepted - correct,HumanObservation,iRecord | LERC Wales,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SO,SO05,SO05T,SO0756,United Kingdom,Wales,
4280084e-35dc-44f3-bb07-4899985c13dc,36567082,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,22/06/2024,22,06,2024,,,,,North quilkoe,NO45125406,56.675109,-2.897134,7.1,,"Taylor, Angela",,1,,,,,not recorded,not recorded,,Accepted - correct,HumanObservation,iRecord | General data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,NO,NO45,NO45M,NO4554,United Kingdom,Scotland,
3db18cc0-9b4a-4316-9d50-a3bc3bfca379,36828285,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,15/06/2024,15,06,2024,,,,,Sandon,SJ9431,52.880934,-2.083172,707.1,,"Richard, Anne-Marie",,2,,,,,not recorded,adult,,Accepted - correct,HumanObservation,iRecord | General data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SJ,SJ93,SJ93K,SJ9431,United Kingdom,England,
3adbb553-c762-45c9-b85f-984ab839a3e8,36384035,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,11/06/2024,11,06,2024,,,,,"Inverkeithing, Fife, Scotland, United Kingdom",NT157849,56.05013,-3.3536,39,,Kit Sullivan,,1,,,,,,adult,,Accepted - correct,HumanObservation,iRecord | App,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,NT,NT18,NT18M,NT1584,United Kingdom,Scotland,
3352282c-b1c6-4f20-8953-fedff2d40ef0,36289703,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,02/06/2024,02,06,2024,,,,,"Beacon Hill, Fron Rocks",SO19137685,52.383692399999994,-3.1895777,5,,"Moore, Martyn",,1,,,,,,adult,,Accepted - correct,HumanObservation,iRecord | LERC Wales,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SO,SO17,SO17Y,SO1976,United Kingdom,Wales,
2bdbec89-33ba-476a-a607-516781e2b350,36395760,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,11/06/2024,11,06,2024,,,,,"Murton Common, Hawnby",SE512889,54.293609,-1.214115,70.7,,"Newton, Sam",,1,,,,,not recorded,dead - other,,Accepted - correct,HumanObservation,iRecord | General data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SE,SE58,SE58E,SE5188,United Kingdom,England,
262f4aff-7eeb-4f60-88a0-bdc7b8e71bdc,36214649,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,02/06/2024,02,06,2024,,,,,Dunnings Lane,TQ61898618,51.551329,0.33366,7.1,,"Barnes, Ruth","Barnes, Ruth",1,,,,,not recorded,adult,,Accepted - correct,HumanObservation,iRecord | General data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,TQ,TQ68,TQ68D,TQ6186,United Kingdom,England,
